trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.9155}",20,0,-70.94840966147541,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.915}",20,0,-106.97373748889366,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.9145}",20,0,-120.6548338660526,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
172,False,"{'a': 0.5, 'e': 0.914}",30,10,-97.32384787269073,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
173,False,"{'a': 0.5, 'e': 0.9135}",25,0,-155.8667539688084,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
174,False,"{'a': 0.5, 'e': 0.913}",35,13,-104.48523401552322,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.9125}",20,0,-114.92114827221909,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.912}",20,0,-123.29651947875014,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.9115}",25,0,-53.67340843058822,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.911}",30,0,-101.16485077724852,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.9105}",20,0,-88.34029016584324,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.91}",25,0,-197.26602712259964,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
181,False,"{'a': 0.5, 'e': 0.9095}",25,0,-138.83148910396082,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
182,False,"{'a': 0.5, 'e': 0.909}",25,3,-78.07135854567518,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.9085}",25,0,-117.20311375686566,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
184,False,"{'a': 0.5, 'e': 0.908}",20,0,-43.97926755233362,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
185,False,"{'a': 0.5, 'e': 0.9075}",25,0,-91.86261706532449,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
186,False,"{'a': 0.5, 'e': 0.907}",30,0,-96.44332049851974,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
187,False,"{'a': 0.5, 'e': 0.9065}",30,0,-158.05975299890997,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
188,False,"{'a': 0.5, 'e': 0.906}",20,7,2.7147227622756844,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.9055}",25,0,-204.70251049084553,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
190,False,"{'a': 0.5, 'e': 0.905}",20,0,-70.6952731136034,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
191,False,"{'a': 0.5, 'e': 0.9045}",20,0,-92.58966472789174,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
192,False,"{'a': 0.5, 'e': 0.904}",25,0,-81.80007378399178,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
193,False,"{'a': 0.5, 'e': 0.9035}",20,0,-119.86773833620965,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
194,False,"{'a': 0.5, 'e': 0.903}",20,0,-76.0154886817543,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
195,False,"{'a': 0.5, 'e': 0.9025}",30,0,-71.3430609701799,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
196,False,"{'a': 0.5, 'e': 0.902}",20,0,-97.28744344198796,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
197,False,"{'a': 0.5, 'e': 0.9015}",20,0,-108.62948433342586,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
198,False,"{'a': 0.5, 'e': 0.901}",20,0,-19.01672498444487,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
199,False,"{'a': 0.5, 'e': 0.9005}",20,0,-114.65657416198121,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
200,False,"{'a': 0.5, 'e': 0.9}",25,0,-91.14610393510036,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
201,False,"{'a': 0.5, 'e': 0.8995}",25,0,-86.04801719031553,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.899}",20,0,2.2048343626732123,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
203,False,"{'a': 0.5, 'e': 0.8985}",25,5,-45.20714717474976,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.898}",20,13,12.048386888710265,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.8975}",30,0,-159.50848562154826,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
206,False,"{'a': 0.5, 'e': 0.897}",20,0,-104.72070938743245,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
207,False,"{'a': 0.5, 'e': 0.8965}",25,0,-99.15252053875717,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
208,False,"{'a': 0.5, 'e': 0.896}",20,0,-73.14938479076729,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
209,False,"{'a': 0.5, 'e': 0.8955}",35,0,-185.04884412939424,"{0: 21, 1: 6, 2: 4, 3: 1, 4: 3}",1
210,False,"{'a': 0.5, 'e': 0.895}",20,0,-73.34290851254012,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
211,False,"{'a': 0.5, 'e': 0.8945}",20,0,-42.77220279449882,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
212,False,"{'a': 0.5, 'e': 0.894}",25,0,-78.78324278162012,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
213,False,"{'a': 0.5, 'e': 0.8935}",25,0,-164.41086245739913,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
214,False,"{'a': 0.5, 'e': 0.893}",30,0,-127.52840652736319,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
215,False,"{'a': 0.5, 'e': 0.8925}",25,6,-39.323830341960274,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.892}",35,19,-52.64634321993186,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
217,False,"{'a': 0.5, 'e': 0.8915}",20,0,-113.00819319785928,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
218,False,"{'a': 0.5, 'e': 0.891}",25,0,-64.78354896981698,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
219,False,"{'a': 0.5, 'e': 0.8905}",20,0,-89.20678213948402,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
220,False,"{'a': 0.5, 'e': 0.89}",25,14,-48.7716121438708,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.8895}",25,0,-129.67234645989816,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
222,False,"{'a': 0.5, 'e': 0.889}",20,10,-17.30116835860636,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.8885}",35,0,-157.1711145825115,"{0: 19, 1: 8, 2: 6, 3: 0, 4: 2}",0
224,False,"{'a': 0.5, 'e': 0.888}",20,0,-57.15780205822214,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.8875}",20,0,-16.26087643078768,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
226,False,"{'a': 0.5, 'e': 0.887}",30,0,-126.04486513333624,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
227,False,"{'a': 0.5, 'e': 0.8865}",25,0,-72.43429682645592,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
228,False,"{'a': 0.5, 'e': 0.886}",35,0,-120.72229655741788,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
229,False,"{'a': 0.5, 'e': 0.8855}",20,0,-153.02257809538858,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 4}",0
230,False,"{'a': 0.5, 'e': 0.885}",25,1,-111.08506020677184,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 1}",1
231,False,"{'a': 0.5, 'e': 0.8845}",20,1,-46.780056316518625,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
232,False,"{'a': 0.5, 'e': 0.884}",20,0,-88.5132879402715,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
233,False,"{'a': 0.5, 'e': 0.8835}",20,0,-113.49647382040966,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
234,False,"{'a': 0.5, 'e': 0.883}",25,8,-36.190324004073865,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
235,False,"{'a': 0.5, 'e': 0.8825}",25,0,-83.83195751928442,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.882}",20,0,-47.12383604124448,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
237,False,"{'a': 0.5, 'e': 0.8815}",35,0,-144.31733549142822,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
238,False,"{'a': 0.5, 'e': 0.881}",30,7,-69.27996703817672,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 1}",1
239,False,"{'a': 0.5, 'e': 0.8805}",20,0,-217.64248535029856,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 5}",0
240,False,"{'a': 0.5, 'e': 0.88}",20,0,-76.06714862214407,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
241,False,"{'a': 0.5, 'e': 0.8795}",25,0,-39.664402526423004,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
242,False,"{'a': 0.5, 'e': 0.879}",20,0,-133.94794777200664,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
243,False,"{'a': 0.5, 'e': 0.8785000000000001}",20,0,-145.73478454831348,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
244,False,"{'a': 0.5, 'e': 0.878}",20,0,-33.93306855115811,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
